H,0,1,0,1
He,0,1,17,18
Li,1,2,0,1
Be,1,2,1,2
B,1,2,12,13
C,1,2,13,14
N,1,2,14,15
O,1,2,15,16
F,1,2,16,17
Ne,1,2,17,18
Na,2,3,0,1
Mg,2,3,1,2
Al,2,3,12,13
Si,2,3,13,14
P,2,3,14,15
S,2,3,15,16
Cl,2,3,16,17
Ar,2,3,17,18
K,3,4,0,1
Ca,3,4,1,2
Sc,3,4,2,3
Ti,3,4,3,4
V,3,4,4,5
Cr,3,4,5,6
Mn,3,4,6,7
Fe,3,4,7,8
Co,3,4,8,9
Ni,3,4,9,10
Cu,3,4,10,11
Zn,3,4,11,12
Ga,3,4,12,13
Ge,3,4,13,14
As,3,4,14,15
Se,3,4,15,16
Br,3,4,16,17
Kr,3,4,17,18
Rb,4,5,0,1
Sr,4,5,1,2
Y,4,5,2,3
Zr,4,5,3,4
Nb,4,5,4,5
Mo,4,5,5,6
Tc,4,5,6,7
Ru,4,5,7,8
Rh,4,5,8,9
Pd,4,5,9,10
Ag,4,5,10,11
Cd,4,5,11,12
In,4,5,12,13
Sn,4,5,13,14
Sb,4,5,14,15
Te,4,5,15,16
I,4,5,16,17
Xe,4,5,17,18
Cs,5,6,0,1
Ba,5,6,1,2
La,8,9,3,4
Ce,8,9,4,5
Pr,8,9,5,6
Nd,8,9,6,7
Pm,8,9,7,8
Sm,8,9,8,9
Eu,8,9,9,10
Gd,8,9,10,11
Tb,8,9,11,12
Dy,8,9,12,13
Ho,8,9,13,14
Er,8,9,14,15
Tm,8,9,15,16
Yb,8,9,16,17
Lu,8,9,17,18
Hf,5,6,3,4
Ta,5,6,4,5
W,5,6,5,6
Re,5,6,6,7
Os,5,6,7,8
Ir,5,6,8,9
Pt,5,6,9,10
Au,5,6,10,11
Hg,5,6,11,12
Tl,5,6,12,13
Pb,5,6,13,14
Bi,5,6,14,15
Po,5,6,15,16
At,5,6,16,17
Rn,5,6,17,18
Fr,6,7,0,1
Ra,6,7,1,2
Ac,9,10,3,4
Th,9,10,4,5
Pa,9,10,5,6
U,9,10,6,7
Np,9,10,7,8
Pu,9,10,8,9
Am,9,10,9,10
Cm,9,10,10,11
Bk,9,10,11,12
Cf,9,10,12,13
Es,9,10,13,14
Fm,9,10,14,15
Md,9,10,15,16
No,9,10,16,17
Lr,9,10,17,18
